name,Modification,Chassis ID,Engine,Drive
MAZDA ,SS,"TA-,HF21S",K6A,Full-time 4WD
MAZDA ,GL-X,"LA-,EPFW",AJ,Full-time 4WD
MAZDA ,LX G-PACKAGE,"LA-,EPFW",AJ,Full-time 4WD
MAZDA ,LX,"LA-,EPFW",AJ,Full-time 4WD
MAZDA ,LX G-PACKAGE,"LA-,EPFW",AJ,FF
MAZDA ,LX,"LA-,EPFW",AJ,FF
MAZDA ,LX G-PACKAGE,"TA-,EPEW",YF,Full-time 4WD
MAZDA ,LX,"TA-,EPEW",YF,Full-time 4WD
MAZDA ,LX G-PACKAGE,"TA-,EPEW",YF,FF
NISSAN ,AXIS GT TURBO,"GF-,NN30",SR20DET,Full-time 4WD
NISSAN ,AXIS,"GF-,PNN30",KA24DE,Full-time 4WD
MAZDA ,G,"UA-,HF21S",K6A,FF
MAZDA ,X,"UA-,HF21S",K6A,FF
MAZDA ,G,"LA-,HF21S",K6A,FF
MAZDA ,G,"LA-,HF21S",K6A,Full-time 4WD
MAZDA ,X,"LA-,HF21S",K6A,FF
MAZDA ,X,"LA-,HF21S",K6A,Full-time 4WD
MAZDA ,TYPE M,"UA-,HF21S",K6A,FF
MAZDA ,TYPE M,"LA-,HF21S",K6A,Full-time 4WD
MAZDA ,LX,"TA-,EPEW",YF,FF
MAZDA ,FIELD BREAK,"LA-,EPFW",AJ,Full-time 4WD
MAZDA ,FIELD BREAK,"LA-,EPFW",AJ,FF
MAZDA ,FIELD BREAK,"TA-,EPEW",YF,Full-time 4WD
MAZDA ,LX,"TA-,EPEW",YF,FF
NISSAN ,X,"GF-,N30",SR20DE,FF
NISSAN ,X AERO,"GF-,N30",SR20DE,FF
NISSAN ,S,"GF-,N30",SR20DE,FF
NISSAN ,G,"GF-,N30",SR20DE,FF
NISSAN ,B,"GF-,N30",SR20DE,FF
NISSAN ,GT TURBO,"GF-,NN30",SR20DET,Full-time 4WD
NISSAN ,X,"GF-,PNN30",KA24DE,Full-time 4WD
MAZDA ,TURBO,"TA-,HF21S",K6A,FF
MAZDA ,TURBO,"TA-,HF21S",K6A,Full-time 4WD
MAZDA ,G,"UA-,HF21S",K6A,FF
MAZDA ,X,"UA-,HF21S",K6A,FF
MAZDA ,LX,"TA-,EPEW",YF,Full-time 4WD
NISSAN ,X AERO,"GF-,PNN30",KA24DE,Full-time 4WD
NISSAN ,S,"GF-,PNN30",KA24DE,Full-time 4WD
NISSAN ,G,"GF-,PNN30",KA24DE,Full-time 4WD
NISSAN ,AXIS,"GF-,N30",SR20DE,FF
NISSAN ,BLACK LIMITED,"E-,PNN30",KA24DE,Full-time 4WD
NISSAN ,BLACK LIMITED,"E-,N30",SR20DE,FF
NISSAN ,G,"GF-,PNN30",KA24DE,Full-time 4WD
MAZDA ,LX,"LA-,EPFW",AJ,Full-time 4WD
MAZDA ,LX G-PACKAGE,"TA-,EPEW",YF,FF
MAZDA ,LX G-PACKAGE,"TA-,EPEW",YF,Full-time 4WD
MAZDA ,LX G-PACKAGE,"LA-,EPFW",AJ,Full-time 4WD
MAZDA ,GL-X,"LA-,EPFW",AJ,Full-time 4WD
NISSAN ,B,"GF-,N30",SR20DE,FF
MAZDA ,C,"DBA-,DC5W",ZY-VE,FF
NISSAN ,G,"GF-,N30",SR20DE,FF
NISSAN ,X,"GF-,N30",SR20DE,FF
NISSAN ,X,"GF-,PNN30",KA24DE,Full-time 4WD
NISSAN ,X LIMITED,"GF-,N30",SR20DE,FF
NISSAN ,G LIMITED,"GF-,N30",SR20DE,FF
MAZDA ,L,"DBA-,DC5W",ZY-VE,FF
MAZDA ,NOBLE COUTURE,"DBA-,DC5W",ZY-VE,FF
MAZDA ,C,"DBA-,DC5W",ZY-VE,FF
MAZDA ,L,"DBA-,DC5W",ZY-VE,FF
MAZDA ,MAGENTA SELECTION,"DBA-,DC5W",ZY-VE,FF
MAZDA ,C,"DBA-,DC5W",ZY-VE,FF
MAZDA ,C,"DBA-,DC5R",ZY-VE,Full-time 4WD
NISSAN ,G LIMITED,"GF-,PNN30",KA24DE,Full-time 4WD
NISSAN ,AXIS,"GF-,N30",SR20DE,FF
