Video Title,Number of Viewers,Video posting date,Video Length
Subtraction | Learning song for Kids | 4K | Appu Series,"46,896 views","Oct 28, 2019",2:06
Shapes | Learning song for Kids | 4K | Appu Series,"7,095 views","Oct 27, 2019",3:41
Senses | Learning song for Kids | 4K | Appu Series,"12,728 views","Oct 26, 2019",2:38
Four Seasons | Learning song for Kids | 4K | Appu Series,"7,861 views","Oct 25, 2019",3:27
Flower Bud | Nature song for Kids | 4K | Appu Series,"5,731 views","Nov 7, 2019",1:48
Rounding Up And Rounding Down | Learning song for Kids | 4K | Appu Series,"5,254 views","Oct 23, 2019",3:09
Ants In A Line | Nature song for Kids | 4K | Appu Series,"4,872 views","Nov 3, 2019",1:40
Weight | Learning song for Kids | 4K | Appu Series,"6,701 views","Oct 30, 2019",3:18
Time | Learning song for Kids | 4K | Appu Series,"6,443 views","Oct 29, 2019",10:46
My Four Seasons' Tree | Nature song for Kids | 4K | Appu Series,"20,956 views","Nov 12, 2019",2:19
Hibernate | Nature song for Kids | 4K | Appu Series,"46,955 views","Nov 10, 2019",2:23
Multiplication | Learning song for Kids | 4K | Appu Series,"16,633 views","Oct 18, 2019",2:34
Months of the Year | Learning song for Kids | 4K | Appu Series,"7,168 views","Oct 17, 2019",2:55
Animal Homes | Nature song for Kids | 4K | Appu Series,"10,309 views","Nov 2, 2019",2:13
Living Room | Learning song for Children | 4K | Appu Series,"15,833 views","Oct 15, 2019",1:59
20 Best Classic Baby Nursery Rhymes By Appu,"247,812 views","Nov 1, 2019",22:41
Division | Learning song for Kids | 4K | Appu Series,"28,438 views","Oct 14, 2019",2:48
Length | Learning song for Kids | 4K | Appu Series,"6,681 views","Oct 13, 2019",2:52
Kitchen | Learning song for Kids | 4K | Appu Series,"9,339 views","Oct 12, 2019",0:11
Opposites | Learning song for Kids | 4K | Appu Series,"7,068 views","Oct 20, 2019",3:33
I Spy ABC's | Learning song for Kids | 4K | Appu Series,"11,123 views","Oct 11, 2019",13:39
Naughty Little Chicks | Learning song for Kids | 4K | Appu Series,"6,707 views","Oct 19, 2019",1:40
Fractions | Learning song for Kids | 4K | Appu Series,"18,745 views","Oct 10, 2019",2:38
Seasons | Learning song for Kids | 4K | Appu Series,"4,908 views","Oct 24, 2019",3:33
Fingers | Learning song for Children | 4K | Appu Series,"8,266 views","Oct 9, 2019",2:56
Family Song | Learning song for Children | 4K | Appu Series,"5,397 views","Oct 8, 2019",1:48
Feelings | Learning song for Kids | 4K | Appu Series,"6,996 views","Oct 7, 2019",2:12
Decimals | Learning song for Children | 4K | Appu Series,"8,136 views","Oct 4, 2019",2:13
Learn about Colors | Learning song for Kids | 4K | Appu Series,"13,722 views","Oct 3, 2019",6:53
Rainbow | Learning song for Kids | 4K | Appu Series,"8,137 views","Oct 22, 2019",2:19
Clothes | Learning song for Kids | 4K | Appu Series,"4,851 views","Oct 1, 2019",2:26
Bedroom | Learning song for Children | 4K | Appu Series,"9,264 views","Sep 30, 2019",2:07
Bathroom | Learning song for Kids | 4K | Appu Series,"8,287 views","Sep 29, 2019",2:03
Animals and their Young Ones | Learning song for Children | 4K | Appu Series,"36,701 views","Sep 28, 2019",3:48
Animal Sounds | Learning song for Children | 4K | Appu Series,"13,775 views","Sep 27, 2019",2:28
Yankee Doodle Came To Town | English Nursery Rhyme for Kids in 4K | Appu Series,"17,714 views","Sep 25, 2019",1:06
Wheels On The Bus | English Nursery Rhyme for Children in 4K | Appu Series,"18,413 views","Sep 24, 2019",1:57
Row Row Row Your Boat | English Nursery Rhyme for Children in 4K | Appu Series,"8,759 views","Sep 23, 2019",1:16
Rock A Bye Baby | English Song for Kids in 4K | Appu Series,"10,596 views","Sep 22, 2019",1:10
"Pussy Cat, Pussy Cat | English Nursery Rhyme for Kids in 4K | Appu Series","9,496 views","Sep 21, 2019",1:37
Little Miss Muffet | English Nursery Rhyme for Children in 4K | Appu Series,"12,298 views","Sep 20, 2019",1:16
Baby Nursery Rhymes - Ding Dong Bell Rhyme,"90,400 views","Jan 18, 2019",0:49
London Bridge is Falling Down | Baby Nursery Rhymes 2019 by Appu,"246,548 views","Jan 11, 2019",2:22
Musical Instrument Songs - Flute,"49,374 views","Oct 31, 2018",2:28
Musical Instrument Songs - Drum Beats,"281,693 views","Oct 28, 2018",2:27
Musical Instrument Songs - Clarinet,"49,100 views","Oct 25, 2018",1:57
Musical Instrument Songs - Bongo,"70,371 views","Oct 22, 2018",2:10
Values Songs - Values to live by for Kids,"26,359 views","Oct 19, 2018",37:05
Festival Songs for Kids - Learn about Festivals,"89,884 views","Oct 16, 2018",50:35
The Alphabet | Learning song for Children | 4K | Appu Series,"25,528 views","Sep 26, 2019",7:24
Values songs - The Respect Song,"163,534 views","Oct 10, 2018",2:32
Values Songs - Lend a Helping Hand,"42,306 views","Oct 4, 2018",1:59
Values Songs - Grandparents Song,"53,694 views","Oct 1, 2018",2:21
Values Songs - Fold Your Hand in a Silent Prayer,"16,351 views","Sep 28, 2018",2:21
Values Songs - Exercise for Kids,"35,969 views","Sep 25, 2018",2:09
Values Songs - Healthy Food Song for Kids,"190,959 views","Sep 22, 2018",0:11
Values Songs - Be Responsible Song for Kids,"48,527 views","Sep 19, 2018",3:15
Values Songs - Have Courage Song for Kids,"22,239 views","Sep 16, 2018",2:49
Values Songs - Be Honest Song for Kids,"54,189 views","Sep 13, 2018",3:01
Values Songs - Be Grateful Song for Kids,"18,905 views","Sep 10, 2018",3:14
Values Songs - Be Courteous Song for Kids,"45,172 views","Sep 7, 2018",2:50
Baby Nursery Rhyme Songs - Hot Cross Buns,"27,199 views","Sep 1, 2018",1:00
Values Songs - The Song about Care,"19,442 views","Oct 13, 2018",2:36
Environmental Songs for Kids - Save the Earth,"91,229 views","Jun 28, 2018",39:55
Environmental Songs for Kids - Switch Off the Lights,"27,060 views","Jun 22, 2018",3:30
Environmental Songs for Kids - Stop the Honk,"18,953 views","Jun 19, 2018",3:11
Environmental Songs for Kids - Stop Pollution,"102,718 views","Jun 16, 2018",3:36
Environmental Songs for Kids - Learn about Trees,"16,948 views","Jun 13, 2018",3:07
Environmental Songs for Kids - Think about Planet Earth,"39,630 views","Jun 10, 2018",3:29
Environmental Songs for Kids - Waste in the River,"16,076 views","Jun 4, 2018",3:14
"Reduce, Recycle, Reuse - Environmental Song in Ultra HD (4K)","11,039 views","Jun 1, 2018",2:19
Say No To Polythene - Environmental Song in Ultra HD (4K),"30,845 views","May 29, 2018",2:18
Baby Nursery Rhyme Songs - Do you know the Muffin Man?,"26,939 views","May 22, 2018",0:47
Baby Nursery Rhyme Songs - Incy Wincy Spider Song,"52,014 views","May 22, 2018",0:53
Baby Nursery Rhyme Songs - Hickory Dickory Dock,"159,593 views","May 22, 2018",1:08
Environmental Songs for Kids - Importance of Rain Water Harvesting,"54,327 views","May 17, 2018",2:12
Values Songs - Make Your Own Sunshine,"20,942 views","Oct 7, 2018",1:46
Environmental Songs for Kids - Don't Leave the Tap Running,"24,132 views","May 11, 2018",2:14
"Environmental Songs for Kids - Oh, Hunter, Hunter","15,584 views","May 8, 2018",2:08
"Environmental Songs for Kids - Water, Tree and Air","25,587 views","May 5, 2018",2:47
Festival Songs for Kids - Hanami Festival Song,"28,144 views","Mar 21, 2018",1:53
Festival Songs for Kids - St. Patrick's Day Song,"32,031 views","Mar 14, 2018",2:12
Festival Songs for Kids - Chinese New Year Song,"79,461 views","Feb 14, 2018",2:25
Festival Songs for Kids - Mardi Gras Song,"68,360 views","Feb 10, 2018",1:58
Festival Songs for Kids - Harbin Ice And Snow,"22,441 views","Jan 3, 2018",1:42
Festival Songs for Kids - New Year's Day Song,"95,032 views","Dec 31, 2017",2:24
Short Stories for Kids - Appu's Kodak Moment,"19,757 views","Dec 26, 2017",5:50
Environmental Songs for Kids - Protect Water Bodies,"20,943 views","May 20, 2018",2:17
Festival Songs for Kids - Christmas Songs for Kids,"35,500 views","Dec 20, 2017",2:58
Short Stories for Kids - Appu meets the Wright Brothers,"33,805 views","Dec 13, 2017",5:50
Festival Songs for Kids - Chanukah (Hanukkah) Festival Song,"14,424 views","Dec 9, 2017",2:31
Short Stories for Kids - Appu finds the Five Fruits,"75,337 views","Dec 6, 2017",5:50
Short Stories for Kids - Appu meets Karl Benz,"26,508 views","Dec 4, 2017",5:50
Short Stories for Kids - Appu meets Thomas Edison,"32,752 views","Dec 1, 2017",5:50
Short Stories for Kids - Appu fights a Fire,"175,906 views","Nov 28, 2017",5:50
Short Stories for Kids - Appu meets Graham Bell,"46,249 views","Nov 18, 2017",5:50
Short Stories for Kids - Who’s Making That Sound,"85,301 views","Nov 14, 2017",5:50
Festival Songs for Kids - New Year Eve Song,"63,509 views","Dec 29, 2017",1:07
Short Stories for Kids - Appu saves Penicillin,"31,343 views","Dec 28, 2017",5:50
Short Stories for Kids - Living and Non Living things,"471,088 views","Nov 8, 2017",5:50
Short Stories for Kids - Appu celebrates Halloween,"61,083 views","Oct 27, 2017",5:50
Short Stories for Kids - Appu Meets Charles Babbage,"29,562 views","Dec 16, 2017",5:50
Short Stories for Kids - Appu helps the Fish,"53,461 views","Oct 17, 2017",5:50
Short Stories for Kids - Appu and the Earthworm,"70,206 views","Oct 13, 2017",5:50
"Baby Nursery Rhyme Songs - Colin, Colin, Colin","26,309 views","Oct 6, 2017",2:33
Baby Nursery Rhyme Songs - Party on the Hill,"25,420 views","Oct 6, 2017",1:34
An Apple a Day - Nursery Rhyme with Karaoke,"32,056 views","Oct 6, 2017",2:41
Short Stories for Kids - What are Bones?,"148,641 views","Sep 16, 2017",5:50
Short Stories for Kids - What is a Volcano?,"778,220 views","Sep 6, 2017",5:50
Short Stories for Kids - Wheels and Axles,"39,760 views","Sep 2, 2017",5:50
Short Stories for Kids - the Air we Breathe,"58,825 views","Aug 22, 2017",5:50
Short Stories for Kids - Pangaea and the Tectonic Plates,"122,290 views","Aug 6, 2017",5:50
Short Stories for Kids - What's a Compass?,"121,762 views","Jul 24, 2017",5:50
Short Stories for Kids - Appu and the Phases of the Moon,"55,425 views","Jul 17, 2017",5:50
Short Stories for Kids - Appu saves the Red Bird's Egg,"37,343 views","Oct 23, 2017",5:50
Short Stories for Kids - Thanksgiving in the Upvan Forest,"21,665 views","Jul 6, 2017",5:50
Baby Nursery Rhyme Songs - Family Nursery Rhymes,"31,605 views","Oct 6, 2017",2:35
Short Stories for Kids - Trip to Kenya,"68,701 views","Jun 28, 2017",5:50
Short Stories for Kids - Story on Eid ul Fitr,"114,471 views","Jun 14, 2017",5:50
Short Stories for Kids - Trip to Greece,"28,600 views","Jun 12, 2017",5:50
Short Stories for Kids - Trip to Egypt,"97,569 views","May 28, 2017",5:50
Short Stories for Kids - Trip to Brazil,"54,133 views","May 24, 2017",5:50
Animal Rhymes for Kids - Rhinoceros song,"171,269 views","May 19, 2017",0:15
Animal Songs for Kids - Warthog song,"119,446 views","May 16, 2017",2:08
Mothers Day Songs for Kids - Kids songs,"22,200 views","May 12, 2017",0:15
Chinese Culture for Kids - Short Stories for kids,"84,691 views","May 7, 2017",5:50
Animal Songs for Kids - Wildebeest Song,"163,884 views","May 4, 2017",0:11
Animal Songs for Kids - Wolf Song,"112,307 views","May 2, 2017",2:22
Animal Rhymes for Kids - Seal Song,"80,043 views","Apr 28, 2017",2:33
Songs for Kids - Songs from the Heart,"15,245 views","Apr 25, 2017",13:05
Pre School Songs by Appu,"99,883 views","Apr 22, 2017",23:07
Short Stories for Kids - Importance of Earth Day,"72,448 views","Apr 20, 2017",5:50
Festival Songs for Kids - Easter Song,"12,382 views","Apr 15, 2017",2:07
8 Evergreen Kids Nursery Rhymes,"62,450 views","Apr 17, 2017",8:29
Animal Songs for kids | Koala Song,"66,939 views","Apr 10, 2017",2:03
Festival Songs for Kids | Passover Song,"27,240 views","Apr 3, 2017",2:23
Animal Songs for kids | Tiger Songs,"354,318 views","Mar 28, 2017",3:05
Animal Songs for kids | Grizzly Bear Song,"142,705 views","Mar 22, 2017",2:26
