scrape_date,website_url,Product_ID,GTIN,Brand,product,price,pack_size,multibuy_deal_quantity,multibuy_deal_price,undiscounted_price,delivery_available,review_rating,review_count,style,type,packaging,standard_drinks,alcohol_content,organic,origin
10/8/2021,https://www.liquorland.com.au/beer/carlsberg-green-bottle-330ml_54485,54485,9.31044E+12,Carlsberg,Green Bottle 330mL,51,Pack (24),,,48,TRUE,5,3,Lager,Lager,Bottle,1.3,4.80%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/somersby-pear-cider-bottle-330ml_1253158,1253158,9.32998E+12,Somersby,Pear Cider Bottle 330mL,60,Pack (24),,,55,TRUE,5,2,Pear Cider,,Bottle,1.2,4.50%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/lorry-boys-pale-ale-can-375ml_3891756,3891756,9.31394E+12,Lorry Boys,Pale Ale Can 375mL,43,Pack (24),,,,TRUE,3.3,9,,Pale Ale,Can,1.3,4.20%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/tooheys-old-dark-ale-bottle-375ml_74773,74773,9.31189E+12,Tooheys,Old Dark Ale Bottle 375mL,57,Pack (24),,,,TRUE,,0,Dark Ale,Dark Ale,Bottle,1.4,4.40%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/coopers-pale-ale-can-375ml_3330690,3330690,9.31044E+12,Coopers,Pale Ale Can 375mL,61,Pack (24),,,,TRUE,4.8,4,Pale Ale,Pale Ale,Can,1.4,4.50%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/little-creatures-pale-ale-bottle-330ml_465786,465786,9.32873E+12,Little Creatures,Pale Ale Bottle 330mL,63,Pack (24),,,69,TRUE,4,2,Pale Ale,Pale Ale,Bottle,1.4,5.20%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/burleigh-bighead-no-carb-beer-bottle-330ml_7185120,7185120,9.33922E+12,Burleigh,Bighead No Carb Beer Bottle 330mL,71,Pack (24),,,58,TRUE,4.5,11,Lager,Lager,Bottle,1.1,4.20%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/hahn-super-dry-can-375ml_7319485,7319485,9.31342E+12,Hahn,Super Dry Can 375mL,50,Pack (24),,,,TRUE,5,2,Dry,Dry,Can,1.4,4.60%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/mercury-hard-cider-can-375ml-10-pack-_2840603,2840603,9.32E+12,Mercury,Hard Cider Can 375mL (10 Pack),26,Pack (10),,,30,TRUE,4,1,,,Can,2.1,6.90%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/hahn-premium-light-bottle-375ml_380713,380713,9.31342E+12,Hahn,Premium Light Bottle 375mL,45,Pack (24),,,,TRUE,4.5,2,Light,Light,Bottle,0.8,2.40%,No,Australia
