Name,Phone,Street,State,Facility_Amenities,Office_hours,Access_Hours,images,images_url,img_url_name,size,catagory,discount,price,description,Size_Catagory_Discount_Price_description
All American Storage - Tn - Portland - 503 & 613 Hwy 52 E,,503 Portland Blvd,"(['Portland', ', ', 'TN', ' ', '37148'],)",,,,,,,,,,,,
All American Storage,,503 Hwy 52 E,"(['Portland', ', ', 'TN', ' ', '37148'],)",,,,,,,,,,,,
Outdoor Closet - Nashville - 3301 Ambrose Ave,,3301 Ambrose Ave,"(['Nashville', ', ', 'TN', ' ', '37207'],)",,,,,,,,,,,,
Allied Self Storage - Cookeville - 5196 Buffalo Valley Rd,,5196 Buffalo Valley Road,"(['Cookeville', ', ', 'TN', ' ', '38501'],)",,,,,,,,,,,,
City Storage/morrison Lowe Rental - Cookeville - 105 Ridgedale Dr,,105 Ridgedale Dr,"(['Cookeville', ', ', 'TN', ' ', '38501'],)",,,,,,,,,,,,
Meadowview Mini-storage - Cookeville - 1991 Gainesboro Grade,,1991 Gainesboro Grade,"(['Cookeville', ', ', 'TN', ' ', '38501'],)",,,,,,,,,,,,
Stevens Realty Storage - Cookeville - 1425 Gainesboro Grade,,1425 Gainesboro Grade,"(['Cookeville', ', ', 'TN', ' ', '38501'],)",,,,,,,,,,,,
Nash J R Moving & Storage,,1767 Burgess Falls Rd,"(['Cookeville', ', ', 'TN', ' ', '38506'],)",,,,,,,,,,,,
American Mini Storage,,1157 S Willow Ave,"(['Cookeville', ', ', 'TN', ' ', '38506'],)",,,,,,,,,,,,
Davison Properties Construction - Cookeville - 837 S Willow Ave,,837 S Willow Ave,"(['Cookeville', ', ', 'TN', ' ', '38501'],)",,,,,,,,,,,,
A+ Storage,,909 Division St,"(['Nashville', ', ', 'TN', ' ', '37203'],)",,,,,,,,,,,,
A Plus Storage Of Tennesee,,636 Division St,"(['Nashville', ', ', 'TN', ' ', '37203'],)",,,,,,,,,,,,
Amerisite Sixth Ave Storage - Nashville - 516 Sixth Ave South,,516 6th Ave S,"(['Nashville', ', ', 'TN', ' ', '37203'],)",,,,,,,,,,,,
Alexanders Moving & Storage Inc,,739 Melrose Ave,"(['Nashville', ', ', 'TN', ' ', '37211'],)",,,,,,,,,,,,
Docusystems Inc Warehouse - Nashville - 2701 Eugenia Ave,,2701 Eugenia Ave,"(['Nashville', ', ', 'TN', ' ', '37211'],)",,,,,,,,,,,,
Cool Springs Storage,,"(None,)","(['Franklin', ', ', 'TN', ' ', '37067'],)",,,,,,,,,,,,
A-1 Pennyrile Moving & Storage Inc,,433 Allied Dr,"(['Nashville', ', ', 'TN', ' ', '37211'],)",,,,,,,,,,,,
Cold Storage Of Nashville - 1905 Hackworth St,,1905 Hackworth St,"(['Nashville', ', ', 'TN', ' ', '37210'],)",,,,,,,,,,,,
Mobile Attic - Nashville - 5624 Knob Rd,,1207 McGavock Street,"(['Nashville', ', ', 'TN', ' ', '37203'],)",,,,,,,,,,,,
Nashville Storage Ctr Llc,,400 Davidson St,"(['Nashville', ', ', 'TN', ' ', '37213'],)",,,,,,,,,,,,
Bass Business Storage,,404 James Robertson Pkwy,"(['Nashville', ', ', 'TN', ' ', '37219'],)",,,,,,,,,,,,
Ewing Moving & Storage,,611 Cowan St,"(['Nashville', ', ', 'TN', ' ', '37207'],)",,,,,,,,,,,,
Alpha Mini Storage,,818 Porter Rd,"(['Nashville', ', ', 'TN', ' ', '37206'],)",,,,,,,,,,,,
Short Mountain Mini Storage,,3325 Short Mountain Hwy,"(['Smithville', ', ', 'TN', ' ', '37166'],)",,,,,,,,,,,,
A-One Mini Storage,,1049 N Washington St,"(['Tullahoma', ', ', 'TN', ' ', '37388'],)",,,,,,,,,,,,
A Storage Place,,501 N Hillcrest Dr,"(['Shelbyville', ', ', 'TN', ' ', '37160'],)",,,,,,,,,,,,
AAA Quick Storage,,102 Ne Atlantic St,"(['Tullahoma', ', ', 'TN', ' ', '37388'],)",,,,,,,,,,,,
Anderson Street Climate Controled Storage Buildings,,500 S Anderson St,"(['Tullahoma', ', ', 'TN', ' ', '37388'],)",,,,,,,,,,,,
Anderson Street Climate Controled Storage Buildings,,504 S Anderson St,"(['Tullahoma', ', ', 'TN', ' ', '37388'],)",,,,,,,,,,,,
Adcock Storage,,302 Bethany Ln,"(['Shelbyville', ', ', 'TN', ' ', '37160'],)",,,,,,,,,,,,
Evergreen Self-Storage Center,,7100 Loblolly Pine Blvd,"(['Fairview', ', ', 'TN', ' ', '37062'],)",,,,,,,,,,,,
Stone Bridge Storage,,680 Tennessee Blvd,"(['Lebanon', ', ', 'TN', ' ', '37087'],)",,,,,,,,,,,,
Countryside Mini Storage,,218 E Main St,"(['Scottsville', ', ', 'KY', ' ', '42164'],)",,,,,,,,,,,,
TPS Highland Self Storage,,610 S Cumberland St,"(['Lebanon', ', ', 'TN', ' ', '37087'],)",,,,,,,,,,,,
Pop's Mini Storage,,705 Briskin Ln,"(['Lebanon', ', ', 'TN', ' ', '37087'],)",,,,,,,,,,,,
Walton Ferry Self Storage Inc,,134 Walton Ferry Rd,"(['Hendersonville', ', ', 'TN', ' ', '37075'],)",,,,,,,,,,,,
Ellis Auto Sales & Mini Storage,,922 S Main St,"(['Franklin', ', ', 'KY', ' ', '42134'],)",,,,,,,,,,,,
 - ,,290 Lakeside Park Dr,"(['Hendersonville', ', ', 'TN', ' ', '37075'],)",,,,,,,,,,,,
Franklin Properties - 795 North St,,795 North St,"(['Franklin', ', ', 'KY', ' ', '42134'],)",,,,,,,,,,,,
 - ,,19 Industrial Park Rd,"(['Hendersonville', ', ', 'TN', ' ', '37075'],)",,,,,,,,,,,,
Lok-box Mini Storage - Franklin - 1825 Industrial Bypass N,,1825 Industrial Byp N,"(['Franklin', ', ', 'KY', ' ', '42134'],)",,,,,,,,,,,,
D & W Self Storage - Franklin - 210 E Washington St,,210 E Washington St,"(['Franklin', ', ', 'KY', ' ', '42134'],)",,,,,,,,,,,,
All Things Storage,,103 Babb Ct,"(['Lebanon', ', ', 'TN', ' ', '37087'],)",,,,,,,,,,,,
Stones River Secure Storage,,710 Swan Dr,"(['Smyrna', ', ', 'TN', ' ', '37167'],)",,,,,,,,,,,,
Highland Self Storage,,212 Hartman Dr,"(['Lebanon', ', ', 'TN', ' ', '37087'],)",,,,,,,,,,,,
ABG Self Storage,,1313 Winter Dr,"(['Lebanon', ', ', 'TN', ' ', '37087'],)",,,,,,,,,,,,
Tennessee Private Storage,,307 Babb Dr,"(['Lebanon', ', ', 'TN', ' ', '37087'],)",,,,,,,,,,,,
Redmon's Mini Storage,,2512 Nashville Hwy,"(['Mcminnville', ', ', 'TN', ' ', '37110'],)",,,,,,,,,,,,
Center Hill Boat Storage - Silver Point - Hwy 56 N,,Highway 56 N,"(['Silver Point', ', ', 'TN', ' ', '38582'],)",,,,,,,,,,,,
Givan Self Storage,,3195 Lebanon Rd,"(['Lebanon', ', ', 'TN', ' ', '37087'],)",,,,,,,,,,,,
 - ,,600 Church St E,"(['Brentwood', ', ', 'TN', ' ', '37027'],)",,,,,,,,,,,,
Brentwood Mini Storage,,9000 Church St E,"(['Brentwood', ', ', 'TN', ' ', '37027'],)",,,,,,,,,,,,
Mallory Station Storage - Nashville - 480 Broadwell Dr,,480 Broadwell Dr,"(['Nashville', ', ', 'TN', ' ', '37220'],)",,,,,,,,,,,,
Sunset Self Storage,,129 Sunset Dr,"(['Mount Juliet', ', ', 'TN', ' ', '37122'],)",,,,,,,,,,,,
Sunset Self Storage - Mt Juliet - 29 Sunset Dr,,29 Sunset Dr,"(['Mount Juliet', ', ', 'TN', ' ', '37122'],)",,,,,,,,,,,,
Just Box It - Mt Juliet - 129 Sunset Circle,,129 Sunset Circle,"(['Mount Juliet', ', ', 'TN', ' ', '37122'],)",,,,,,,,,,,,
Self Storage All American,,1830 Ashland City Rd,"(['Clarksville', ', ', 'TN', ' ', '37043'],)",,,,,,,,,,,,
Wickham Self Storage Inc,,1521 Ashland City Rd,"(['Clarksville', ', ', 'TN', ' ', '37040'],)",,,,,,,,,,,,
Riverside Storage,,897 S Riverside Dr,"(['Clarksville', ', ', 'TN', ' ', '37040'],)",,,,,,,,,,,,
Pleasant View Mini Storage,,1020 Industrial Dr,"(['Pleasant View', ', ', 'TN', ' ', '37146'],)",,,,,,,,,,,,
Self Storage Center,,426 E 22nd Ave,"(['Springfield', ', ', 'TN', ' ', '37172'],)",,,,,,,,,,,,
Elk Fork Self Storage,,107 Elk Fork Rd,"(['Elkton', ', ', 'KY', ' ', '42220'],)",,,,,,,,,,,,
Summerhaven Self Storage,,939 Tiny Town Rd,"(['Clarksville', ', ', 'TN', ' ', '37042'],)",,,,,,,,,,,,
Adairville Self Storage,,11323 Nashville Rd,"(['Adairville', ', ', 'KY', ' ', '42202'],)",,,,,,,,,,,,
Springfield Mini Storage - 3477 Kelton Jackson Rd,,3477 Kelton Jackson Rd,"(['Springfield', ', ', 'TN', ' ', '37172'],)",,,,,,,,,,,,
Springfield Mini Storage,,3477 Kelton Jackson Rd,"(['Springfield', ', ', 'TN', ' ', '37172'],)",,,,,,,,,,,,
Abc Mini Storage - Clarksville - 3338 Pembroke Rd,,3338 Pembroke Road,"(['Clarksville', ', ', 'TN', ' ', '37042'],)",,,,,,,,,,,,
Eagle Mini Storage,,845 Pembroke Oak Grove Rd,"(['Oak Grove', ', ', 'KY', ' ', '42262'],)",,,,,,,,,,,,
Eagle Mini Storage,,814 Pembroke Oak Grove Rd,"(['Oak Grove', ', ', 'KY', ' ', '42262'],)",,,,,,,,,,,,
Modern Mini Storage,,416 Tiny Town Rd,"(['Clarksville', ', ', 'TN', ' ', '37042'],)",,,,,,,,,,,,
Gate 1 Mini Storage,,178 Jack Miller Blvd,"(['Clarksville', ', ', 'TN', ' ', '37042'],)",,,,,,,,,,,,
Granny's Attic Self Storage,,111 Collier Rd,"(['Clarksville', ', ', 'TN', ' ', '37042'],)",,,,,,,,,,,,
C & M Mini Storage,,2704 S Church St,"(['Murfreesboro', ', ', 'TN', ' ', '37127'],)",,,,,,,,,,,,
Ideal 231 Mini Storage - Commercial & Residential,,2425 S Church St,"(['Murfreesboro', ', ', 'TN', ' ', '37127'],)",,,,,,,,,,,,
Ideal 231 Storage - Murfreesboro - 1545 Rutledge Way,,1545 Rutledge Way,"(['Murfreesboro', ', ', 'TN', ' ', '37129'],)",,,,,,,,,,,,
Ellis Watson Moving & Storage,,971 Esther Ln,"(['Murfreesboro', ', ', 'TN', ' ', '37129'],)",,,,,,,,,,,,
Mini Plus Warehouse,,1300 Rutledge Way,"(['Murfreesboro', ', ', 'TN', ' ', '37129'],)",,,,,,,,,,,,
Store Opening Solutions Inc,,1209 Park Ave,"(['Murfreesboro', ', ', 'TN', ' ', '37129'],)",,,,,,,,,,,,
A Space Mini Storage,,1167 Haley Rd,"(['Murfreesboro', ', ', 'TN', ' ', '37129'],)",,,,,,,,,,,,
Ideal 231 Storage - Murfreesboro - 1020 Seals Way,,1020 Seals Way,"(['Murfreesboro', ', ', 'TN', ' ', '37129'],)",,,,,,,,,,,,
A Space Mini Storage,,1127 Haley Rd,"(['Murfreesboro', ', ', 'TN', ' ', '37129'],)",,,,,,,,,,,,
Bgs America Storage Iv,,702 Jessica St,"(['Murfreesboro', ', ', 'TN', ' ', '37130'],)",,,,,,,,,,,,
U-lock-it - Murfreesboro - 931 New Salem Rd,,931 New Salem Rd,"(['Murfreesboro', ', ', 'TN', ' ', '37129'],)",,,,,,,,,,,,
Salem Park Mini Storage,,1232 Salem Park Ct,"(['Murfreesboro', ', ', 'TN', ' ', '37129'],)",,,,,,,,,,,,
Farrer Bros - Self Storage,,2129 Mercury Blvd,"(['Murfreesboro', ', ', 'TN', ' ', '37130'],)",,,,,,,,,,,,
Robi Mini Storage,,535 W Main St,"(['Murfreesboro', ', ', 'TN', ' ', '37129'],)",,,,,,,,,,,,
Doc Mart Storage Warehouse,,625 W Main St,"(['Murfreesboro', ', ', 'TN', ' ', '37129'],)",,,,,,,,,,,,
Warfield Self Storage & Office,,1321 Barbara Dr,"(['Clarksville', ', ', 'TN', ' ', '37043'],)",,,,,,,,,,,,
A Thru Z Mini Storage,,660 Huntco Dr,"(['Clarksville', ', ', 'TN', ' ', '37043'],)",,,,,,,,,,,,
Exit 11 Mini Storage,,750 Economy Dr,"(['Clarksville', ', ', 'TN', ' ', '37043'],)",,,,,,,,,,,,
St Bethlehem Mini Storage - Clarksville - 1778 Wilma Rudolph Blvd,,1778 Wilma Rudolph Blvd,"(['Clarksville', ', ', 'TN', ' ', '37040'],)",,,,,,,,,,,,
Mobile Attic - Clarksville - 450 Dover Rd,,450 Dover Rd,"(['Clarksville', ', ', 'TN', ' ', '37042'],)",,,,,,,,,,,,
Cherry Station Mini-Storage,,212 Warfield Blvd,"(['Clarksville', ', ', 'TN', ' ', '37043'],)",,,,,,,,,,,,
1-800-pack-rat Prtbl Storage - Nashville - 4717 Centennial Blvd,,4717 Centennial Blvd,"(['Nashville', ', ', 'TN', ' ', '37209'],)",,,,,,,,,,,,
A Better Mobile Storage Co,,4211 Georgia Ave,"(['Nashville', ', ', 'TN', ' ', '37209'],)",,,,,,,,,,,,
Airborne Parkway Storage,,1280 Parkway Pl,"(['Clarksville', ', ', 'TN', ' ', '37042'],)",,,,,,,,,,,,
Miss Martha's Storage Units - Clarksville - 160 Hermitage Rd,,160 Hermitage Rd,"(['Clarksville', ', ', 'TN', ' ', '37042'],)",,,,,,,,,,,,
Mayberry's Self Storage,,1508 N Gate Ct,"(['Centerville', ', ', 'TN', ' ', '37033'],)",,,,,,,,,,,,
City Storage - Cookeville - 601 W Spring St,,601 W Spring St,"(['Cookeville', ', ', 'TN', ' ', '38501'],)",,,,,,,,,,,,
Aaa Pioneer Storage,,1530 Interstate Dr,"(['Cookeville', ', ', 'TN', ' ', '38501'],)",,,,,,,,,,,,
